bc_id,bc_type,bc_modif1,bc_modif2,bc_temp,bc_time,bc_rate,bc_oc,bc_ssa,bc_idig,bc_co,bc_loading,oxi_mw,oxi_srp,oxi_bde,oxi_pka,oxi_loading,op_mw,op_kow,op_pka,op_conc,ph,k
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,5.92296,3.5,0.008
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,7.4037,3.5,0.0042
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,2.45,0.0062
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,4,0.0061
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,6.96,0.0115
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,9.27,0.0059
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,10.99,0.003
cornstalk,Plant,Pristine,Pristine,900,2,5,0.120390332,207,0.68,2.08,0.1,152.2,1.82,377,9.3,0.1522,163,3.17,7.89,100,7,0.0018
N doped cornstalk,Plant,Heteroatom,Pristine,900,2,5,0.043149215,1357,1.14,1.69,0.1,152.2,1.82,377,9.3,0.1522,163,3.17,7.89,100,7,0.1948
sludge biochar,Sludge,Pristine,Pristine,800,2,10,0.398989899,124.56,2.51,38.9,2,192.11,2.08,92,-3.5,0.19211,359.401,0.83,6.3,20,7,0.051
N doped sludge biochar,Sludge,Heteroatom,Pristine,800,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,359.401,0.83,6.3,20,7,0.505
N doped sludge biochar,Sludge,Heteroatom,Pristine,800,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,331.346,0.83,6.3,20,7,0.125
N doped sludge biochar,Sludge,Heteroatom,Pristine,800,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,361.368,0.83,6.3,20,7,0.283
N doped sludge biochar,Sludge,Heteroatom,Pristine,800,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,319.331,0.83,6.3,20,7,0.155
N doped sludge biochar,Sludge,Heteroatom,Pristine,800,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,369.34,0.83,6.3,20,7,0.185
N doped sludge biochar,Sludge,Heteroatom,Pristine,800,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,361.368,0.83,6.3,20,7,0.33
N doped sludge biochar,Sludge,Heteroatom,Pristine,801,2,10,0.264385692,135.38,2.51,36.8,2,192.11,2.08,92,-3.5,0.19211,362.36,0.83,6.3,20,7,0.205
Aerobic sludge biochar,Sludge,Pristine,Pristine,300,2,10,0.82,51.4,0.71,7,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0095
Aerobic sludge biochar,Sludge,Pristine,Pristine,500,2,10,0.84,61.5,0.47,9.2,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0518
Aerobic sludge biochar,Sludge,Pristine,Pristine,600,2,10,0.39673913,37.18,0.396666667,6.4,6.4,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0611
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.2,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0896
Anaerobic sludge biochar,Sludge,Pristine,Pristine,300,2,10,0.65,35.6,0.56,7,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0054
Anaerobic sludge biochar,Sludge,Pristine,Pristine,500,2,10,0.48,55.6,0.55,9.2,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0296
Anaerobic sludge biochar,Sludge,Pristine,Pristine,600,2,10,0.39673913,37.18,0.545,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0344
Anaerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.29,31.6,0.4,6.2,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0526
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,3,0.0934
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5,0.0997
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,7,0.0972
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,9,0.0728
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.072
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.1028
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.1105
Aerobic sludge biochar,Sludge,Pristine,Pristine,700,2,10,0.52,46,0.31,6.4,1,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,50,5.8,0.0846
